-3.571, -9.643, 6.750, -4.521, -20.069, -13.475, 0.132, -8.979, 1.641, -2.092, 2.850, -1.761, 77.726, a
5.886, -9.796, -5.817, -4.874, -4.693, -12.011, -5.471, -0.686, 18.318, -14.338, -4.433, -3.185, 69.456, a
0.636, -3.503, -1.482, -2.184, -8.164, -16.450, -7.262, 1.995, 4.259, -12.173, -14.273, 1.665, 60.381, a
0.360, -14.957, 4.610, -7.364, -5.728, -15.260, -7.321, -2.424, 10.356, -2.120, -2.108, -0.393, 75.299, a
-0.023, -14.699, 4.688, -6.195, -6.972, -15.938, -7.858, -2.245, 9.977, -1.563, -0.001, -2.055, 75.105, a
-0.908, -14.729, 4.313, -7.243, -5.935, -15.820, -7.286, -1.718, 8.676, -4.422, 1.917, -2.169, 75.455, a
-0.791, -14.965, 3.806, -8.644, -6.340, -15.409, -6.421, -0.197, 7.607, -6.721, 2.422, -1.737, 75.908, a
-0.025, -13.817, 2.628, -9.480, -8.311, -15.407, -6.111, 0.418, 5.662, -8.284, 1.188, -1.026, 76.176, a
-1.873, -10.059, -1.920, -5.695, -11.583, -11.551, -8.610, 1.854, 2.060, -9.559, 0.219, -1.526, 76.518, a
-3.900, -6.119, -5.950, -4.431, -9.342, -8.488, -6.397, 1.286, -0.421, -7.046, -2.305, -4.036, 75.515, a
-1.695, -3.417, -8.212, -4.785, -5.442, -6.545, -8.171, 0.586, 6.334, -0.301, -5.573, -7.079, 74.705, a
2.902, -4.755, -7.347, -5.865, -4.277, -6.469, -15.512, -5.913, 17.171, 2.098, -10.202, -4.306, 73.165, a
4.597, -9.497, -3.106, -6.752, -6.097, -10.987, -8.343, -8.427, 20.487, 1.037, -11.071, 0.303, 73.174, a
2.335, -5.018, -1.595, -2.395, -4.296, -14.419, -9.110, 2.695, 2.195, -14.451, -14.891, 1.427, 62.802, a
3.767, -11.060, -1.756, -7.471, -6.530, -12.879, -4.695, -9.213, 18.743, -0.019, -11.673, 1.946, 73.819, a
2.786, -12.212, -1.514, -8.443, -6.611, -12.107, -2.778, -8.397, 15.652, -1.873, -11.028, 4.616, 74.646, a
3.010, -13.529, -1.229, -6.462, -6.897, -12.269, -4.192, -5.360, 12.968, -1.337, -12.786, 5.938, 74.476, a
2.576, -14.244, -0.518, -5.680, -7.362, -14.096, -4.274, -4.215, 11.357, -0.051, -12.785, 4.832, 74.527, a
2.077, -15.285, 0.167, -7.349, -7.745, -14.910, -2.543, -3.003, 9.989, -0.872, -12.919, 4.945, 75.192, a
1.485, -16.751, 1.090, -7.231, -9.477, -12.435, -3.689, -1.141, 6.659, 1.402, -13.115, 4.050, 75.935, a
1.273, -16.802, 1.270, -6.820, -10.863, -10.746, -4.335, 0.285, 4.015, 2.433, -11.461, 2.215, 76.084, a
1.186, -16.576, 3.070, -5.786, -12.254, -10.784, -5.040, -0.757, 4.740, 2.444, -7.373, -0.424, 75.770, a
1.347, -15.102, 4.176, -4.899, -13.032, -10.790, -5.870, -1.425, 4.578, 1.344, -4.159, -0.853, 74.879, a
1.980, -13.608, 5.418, -4.982, -14.462, -11.559, -8.302, -0.773, 2.036, -0.697, -3.939, -3.654, 74.203, a
4.474, -9.486, -1.815, -1.271, -2.321, -12.839, -12.729, -4.496, 4.649, -10.077, -12.663, 2.879, 66.059, a
1.361, -12.277, 5.662, -4.651, -13.855, -11.890, -9.593, -0.402, 0.604, -1.381, -4.659, -4.526, 73.089, a
0.277, -7.659, 1.203, -5.566, -11.200, -13.141, -7.504, 3.762, 8.323, 2.117, -6.092, -2.466, 71.755, a
2.532, -5.309, -2.707, -8.481, -4.737, -14.365, -14.217, 1.183, 18.375, 2.585, -10.812, 0.685, 72.397, a
3.087, -7.925, -1.344, -8.639, -2.750, -17.314, -11.319, -2.085, 18.648, -1.120, -11.973, 5.806, 72.934, a
